"Winner","University","odds","name","Team","Mascot"
"Texas-San Antonio","Texas-SanAntonio",0.25,NA,NA,NA
"Tulane","Tulane",1,NA,NA,NA
"Tulsa","Tulsa",0.846153846153846,NA,NA,NA
"UAB","UAB",0.545454545454545,"Team2","UAB_Blazers","Blazers"
"UCLA","UCLA",1.91304347826087,"Team1","UCLA_Bruins","Bruins"
"Utah","Utah",1.375,NA,NA,NA
"Utah State","UtahState",0.1,NA,NA,NA
"Valparaiso","Valparaiso",0.222222222222222,NA,NA,NA
"Vanderbilt","Vanderbilt",0.75,NA,NA,NA
"Vermont","Vermont",0.4,"Team2","Vermont_Catamounts","Catamounts"
"Villanova","Villanova",1.83333333333333,"Team1","Villanova_Wildcats","Wildcats"
"Virginia","Virginia",1.13333333333333,NA,NA,NA
"Virginia Commonwealth","VirginiaCommonwealth",0.909090909090909,NA,NA,NA
"Virginia Tech","VirginiaTech",0.5,"Team2","VirginiaTech_Hokies","Hokies"
"Wake Forest","WakeForest",1.14285714285714,NA,NA,NA
"Washington","Washington",1,NA,NA,NA
"Washington State","WashingtonState",1,NA,NA,NA
"Weber State","WeberState",0.333333333333333,NA,NA,NA
"West Virginia","WestVirginia",1.21428571428571,NA,NA,NA
"Western Kentucky","WesternKentucky",0.75,NA,NA,NA
"Western Michigan","WesternMichigan",0.333333333333333,NA,NA,NA
"Wichita State","WichitaState",1.22222222222222,NA,NA,NA
"Winthrop","Winthrop",0.111111111111111,NA,NA,NA
"Wisconsin","Wisconsin",1.6,"Team1","Wisconsin_Badgers","Badgers"
"Wyoming","Wyoming",0.75,"Team1","Wyoming_Cowboys","Cowboys"
"Xavier, Ohio","Xavier,Ohio",1,NA,NA,NA
"Yale","Yale",1,"Team2","Yale_Bulldogs","Bulldogs"
